,State or Region,Beer Volume in Thousands of Gallons,Beer Ethanol in Thousands of Gallons,Beer per Capita Consumption in Gallons,Wine Volume in Thousands of Gallons,Wine Ethanol in Thousands of Gallons,Wine per Capita Consumption in Gallons,Spirits Volume in Thousands of Gallons,Spirits Ethanol in Thousands of Gallons,Spirits per Capita Consumption in Gallons,All Beverages Ethanol in Thousands of Gallons,All Beverages per Capita Consumption in Gallons,U.S. decile
0,Alabama,"95,387","4,292",1.06,"8,120","1,048",0.26,"6,535","2,686",0.67,"8,026",1.99,9.0
1,Alaska,"14,006",630,1.06,"2,432",314,0.53,"1,757",722,1.22,"1,666",2.81,3.0
2,Arizona,"142,228","6,400",1.11,"17,599","2,270",0.39,"11,080","4,554",0.79,"13,224",2.3,6.0
3,Arkansas,"50,336","2,265",0.92,"4,336",559,0.23,"3,987","1,639",0.67,"4,463",1.82,10.0
4,California,"679,723","30,588",0.94,"145,969","18,830",0.58,"61,835","25,414",0.78,"74,832",2.3,6.0
5,Colorado,"117,582","5,291",1.14,"18,485","2,385",0.52,"13,402","5,508",1.19,"13,184",2.85,3.0
6,Connecticut,"54,948","2,473",0.82,"14,084","1,817",0.6,"7,230","2,971",0.98,"7,261",2.4,5.0
7,Delaware,"20,486",922,1.15,"4,465",576,0.72,"3,404","1,399",1.74,"2,897",3.6,1.0
8,Dist. of Columbia,"14,477",651,1.1,"4,688",605,1.02,"2,422",995,1.69,"2,252",3.81,1.0
9,Florida,"421,631","18,973",1.07,"72,108","9,302",0.52,"44,732","18,385",1.04,"46,660",2.63,4.0
10,Georgia,"183,613","8,263",0.97,"16,429","2,119",0.25,"14,519","5,967",0.7,"16,349",1.92,10.0
11,Hawaii,"33,821","1,522",1.28,"5,318",686,0.58,"2,257",928,0.78,"3,136",2.65,4.0
12,Idaho,"27,671","1,245",0.91,"12,700","1,638",1.19,"2,734","1,124",0.82,"4,007",2.92,2.0
13,Illinois,"257,845","11,603",1.1,"36,749","4,741",0.45,"21,398","8,795",0.83,"25,138",2.38,5.0
14,Indiana,"117,420","5,284",0.97,"12,318","1,589",0.29,"11,314","4,650",0.85,"11,523",2.11,8.0
15,Iowa,"72,660","3,270",1.27,"4,762",614,0.24,"5,589","2,297",0.89,"6,181",2.4,5.0
16,Kansas,"53,915","2,426",1.03,"2,632",340,0.14,"4,602","1,891",0.8,"4,657",1.97,9.0
17,Kentucky,"77,010","3,465",0.94,"5,941",766,0.21,"7,328","3,012",0.82,"7,244",1.97,9.0
18,Louisiana,"104,780","4,715",1.23,"9,895","1,276",0.33,"9,228","3,793",0.99,"9,784",2.56,5.0
19,Maine,"34,286","1,543",1.35,"3,917",505,0.44,"2,936","1,207",1.05,"3,255",2.84,3.0
20,Maryland,"90,649","4,079",0.81,"15,450","1,993",0.4,"11,210","4,607",0.92,"10,680",2.13,8.0
21,Massachusetts,"122,373","5,507",0.95,"29,569","3,814",0.66,"13,789","5,667",0.97,"14,988",2.58,4.0
22,Michigan,"186,717","8,402",1.01,"25,515","3,291",0.4,"18,872","7,756",0.93,"19,450",2.34,6.0
23,Minnesota,"116,097","5,224",1.14,"15,588","2,011",0.44,"13,152","5,406",1.18,"12,641",2.77,3.0
24,Mississippi,"67,642","3,044",1.25,"3,331",430,0.18,"4,591","1,887",0.78,"5,360",2.2,7.0
25,Missouri,"127,055","5,717",1.13,"15,150","1,954",0.39,"12,378","5,087",1.01,"12,759",2.53,5.0
26,Montana,"31,229","1,405",1.61,"3,471",448,0.51,"2,081",855,0.98,"2,708",3.11,2.0
27,Nebraska,"43,245","1,946",1.26,"2,608",336,0.22,"2,720","1,118",0.72,"3,401",2.2,7.0
28,Nevada,"75,764","3,409",1.38,"11,548","1,490",0.6,"8,681","3,568",1.45,"8,467",3.43,1.0
29,New Hampshire,"46,996","2,115",1.84,"7,804","1,007",0.88,"5,653","2,323",2.02,"5,445",4.74,1.0
30,New Jersey,"131,936","5,937",0.79,"34,074","4,396",0.59,"17,267","7,097",0.95,"17,429",2.33,6.0
31,New Mexico,"40,147","1,807",1.06,"3,929",507,0.3,"3,382","1,390",0.81,"3,703",2.16,8.0
32,New York,"328,659","14,790",0.89,"68,378","8,821",0.53,"31,619","12,995",0.78,"36,606",2.2,7.0
33,North Carolina,"197,559","8,890",1.05,"28,721","3,705",0.44,"13,501","5,549",0.65,"18,144",2.13,8.0
34,North Dakota,"20,614",928,1.51,"1,600",206,0.34,"1,943",799,1.3,"1,933",3.15,1.0
35,Ohio,"239,227","10,765",1.11,"23,045","2,973",0.31,"14,002","5,755",0.6,"19,493",2.02,9.0
36,Oklahoma,"72,757","3,274",1.03,"4,839",624,0.2,"5,008","2,058",0.65,"5,957",1.87,10.0
37,Oregon,"95,424","4,294",1.24,"15,955","2,058",0.59,"7,838","3,222",0.93,"9,574",2.76,3.0
38,Pennsylvania,"309,101","13,910",1.29,"27,682","3,571",0.33,"18,726","7,696",0.71,"25,177",2.34,6.0
39,Rhode Island,"18,566",835,0.93,"4,069",525,0.58,"2,380",978,1.08,"2,339",2.59,4.0
40,South Carolina,"105,524","4,749",1.14,"8,133","1,049",0.25,"8,108","3,332",0.8,"9,130",2.19,7.0
41,South Dakota,"23,913","1,076",1.54,"1,614",208,0.3,"1,747",718,1.03,"2,002",2.86,2.0
42,Tennessee,"121,699","5,476",0.99,"13,660","1,762",0.32,"10,890","4,476",0.81,"11,714",2.11,9.0
43,Texas,"636,031","28,621",1.27,"61,573","7,943",0.35,"39,600","16,275",0.72,"52,840",2.34,6.0
44,Utah,"32,023","1,441",0.61,"3,661",472,0.2,"3,213","1,321",0.56,"3,234",1.36,10.0
45,Vermont,"18,414",829,1.55,"3,323",429,0.8,971,399,0.75,"1,656",3.1,2.0
46,Virginia,"150,304","6,764",0.96,"26,642","3,437",0.49,"11,478","4,717",0.67,"14,918",2.12,8.0
47,Washington,"126,914","5,711",0.93,"24,557","3,168",0.52,"11,739","4,825",0.79,"13,704",2.24,7.0
48,West Virginia,"39,866","1,794",1.17,"1,294",167,0.11,"1,724",708,0.46,"2,669",1.74,10.0
49,Wisconsin,"141,887","6,385",1.33,"14,998","1,935",0.4,"14,704","6,043",1.26,"14,363",2.99,2.0
50,Wyoming,"12,324",555,1.17,"1,157",149,0.32,"1,369",563,1.19,"1,266",2.68,4.0
52,Northeast,"1,065,279","47,938",1.01,"192,900","24,884",0.52,"100,571","41,334",0.87,"114,156",2.4,0.0
53,Midwest,"1,400,595","63,027",1.12,"156,579","20,199",0.36,"122,422","50,315",0.89,"133,541",2.38,0.0
54,South,"2,449,752","110,239",1.09,"289,625","37,362",0.37,"198,266","81,487",0.8,"229,088",2.25,0.0
55,West,"1,428,856","64,299",1.01,"266,780","34,415",0.54,"131,368","53,992",0.85,"152,705",2.4,0.0
56,U.S. total,"6,344,482","285,502",1.06,"905,883","116,859",0.43,"552,626","227,129",0.84,"629,490",2.34,0.0
